mission_id,real_arrival_km,real_arrival_time,speed,arrival_time,cluster
2022031382,14.6,8,107.48,14.92,2
2022031375,11.1,8,97.91,20.52,2
2022031369,16.2,10,106.02,14.53,2
2022031365,20.2,19,101.74,11.52,2
2022031359,17.4,17,100.95,13.65,2
2022031355,10.3,9,96.59,12.4,2
2022031349,10.8,8,101.74,20.83,2
2022031306,10.8,11,90.29,11.33,2
2022031298,19.5,15,96.38,13.52,2
2022031292,2.7,3,102.86,6.23,2
2022031273,20.8,14,93.31,12.27,2
2022031253,14.5,11,99.09,11.08,2
2022031249,8.9,7,97.63,19.77,2
2022031247,19.9,13,88.23,10.28,2
2022031242,7.4,6,105.75,9.18,2
2022031241,11.6,8,102.12,20.78,2
2022031232,17.9,15,97.41,13.82,2
2022031229,3.8,2,105.4,1.92,2
2022031189,15.2,14,101.81,16.43,2
2022031128,14.4,11,76.97,12.18,2
2022031118,14.6,10,106.21,15.93,2
2022031027,10.3,9,93.55,8.03,2
2022031006,6.3,4,98.85,5.88,2
2022031005,10.8,7,93.59,6.3,2
2022031004,12.3,10,95.26,14.7,2
2022030990,11.2,12,98.4,11.33,2
2022030958,11.5,12,107.83,13.42,2
2022030930,12.9,10,98.18,15.87,2
2022030924,10.5,11,106.53,10.72,2
2022030922,15,16,95.87,9.68,2
2022030920,9.3,6,100.93,17.52,2
2022030906,16.7,12,108.01,8.57,2
2022030904,15,11,100.46,16.62,2
2022030903,6,8,99.4,13.78,2
2022030875,5.1,6,104.74,11.28,2
2022030863,15.8,14,97.88,12.9,2
2022030853,10.1,6,107.1,17.28,2
2022030847,11.8,11,102.9,20.05,2
2022030832,10.1,7,99.23,10.93,2
2022030827,11.2,11,96.72,20.42,2
2022030819,17.8,15,95.97,15.2,2
2022030809,15.2,13,106.6,9.73,2
2022030781,12.6,12,109.85,16.68,2
2022030774,11.2,8,103.6,20.58,2
2022030761,12.2,12,101.46,9.45,2
2022030755,15.5,14,99.35,13.82,2
2022030714,10,10,38.42,11.68,2
2022030706,14.8,15,40.91,10.65,2
2022030673,6.9,6,106.72,13.63,2
2022030671,15.6,16,106.66,11.73,2
2022030664,8.4,6,110.39,16.28,2
2022030638,16.9,11,91.5,10.43,2
2022030626,10.2,10,107.59,8.45,2
2022030625,5.3,3,102.52,3.92,2
2022030624,11.5,10,107.28,10.82,2
2022030622,19.1,11,93.87,13.62,2
2022030620,15,10,86.09,16.67,2
2022030616,7.8,6,102.96,7.62,2
2022030602,13.6,8,115.51,14.78,2
2022030600,11,7,104.72,15.82,2
2022030599,12.2,9,105.68,16.88,2
2022030539,8,7,104.27,15.35,2
2022030531,21.2,13,100.34,11.3,2
2022030525,10.4,10,104.95,13.33,2
2022030522,17.3,13,99.29,10.43,2
2022030505,8.1,7,102.65,5.52,2
2022030503,14.7,9,96.3,14.53,2
2022030487,11.6,11,100.03,21.32,2
2022030478,10.2,9,97.12,10.72,2
2022030473,11,8,98.77,17.57,2
2022030461,13.3,13,107.88,7.72,2
2022030460,10.3,10,108.55,11.58,2
2022030440,10,8,106.78,17.1,2
2022030439,11.7,8,95.6,16.5,2
2022030422,9.7,7,105.34,8.2,2
2022030419,13.9,10,108.06,10.6,2
2022030410,8.7,7,104.98,10.92,2
2022030406,10.6,7,99.49,19.17,2
2022030377,17.4,16,109.32,11.72,2
2022030338,11.5,8,88.58,7.43,2
2022030335,17.6,11,105.97,10.03,2
2022030332,12.5,10,104.83,15.28,2
2022030317,11.1,8,105.27,13.53,2
2022030306,10.4,10,109.52,19.4,2
2022030296,8.9,8,93.75,6.87,2
2022030295,15.7,14,79.1,12.43,2
2022030292,6.6,8,86,13.42,2
2022030263,13.8,10,107.75,15.75,2
2022030255,15.8,14,100.51,12,2
2022030236,11.5,9,110.23,13.27,2
2022030235,15.2,14,106.21,11.07,2
2022030226,9.1,10,105.02,12.5,2
2022030219,13.9,10,95.77,10.42,2
